student_id,semester,branch,attendance_percentage,study_hours_per_week,assignment_completion_percentage,previous_sgpa,previous_cgpa,backlog_count,current_failed_courses,low_performance_course_count,performance_trend,INDEPENDENT_RISK_LABEL
8,4,ME,55.48,10.78,77.28,8.33,8.33,0,0,0,DECLINING,MEDIUM
8,5,ME,66.52,5.85,75.05,7.4,7.81,0,0,0,IMPROVING,MEDIUM
8,6,ME,66.93,12.05,74.23,8.09,7.89,0,0,0,DECLINING,MEDIUM
8,7,ME,64.17,16.18,92.72,7.57,7.81,0,0,1,DECLINING,MEDIUM
8,8,ME,49.21,11.07,77.37,7.2,7.71,0,0,0,IMPROVING,MEDIUM
9,1,CSE,63.35,12.8,83.37,,,0,0,0,STABLE,HIGH
9,2,CSE,79.11,12.7,63.35,6.18,6.18,0,0,1,IMPROVING,MEDIUM
9,3,CSE,76.16,7.34,71.72,6.93,6.6,0,0,2,STABLE,MEDIUM
9,4,CSE,68.52,4.99,61.58,6.91,6.69,0,0,3,DECLINING,MEDIUM
9,5,CSE,74.31,7.07,67.52,6.4,6.61,0,0,1,STABLE,HIGH
9,6,CSE,69.01,11.51,57.71,6.21,6.52,0,0,0,IMPROVING,MEDIUM
9,7,CSE,54.29,11.02,56.28,6.93,6.59,0,0,2,DECLINING,HIGH
9,8,CSE,65.92,5.82,67.16,5.75,6.52,0,0,3,IMPROVING,MEDIUM
10,1,ME,92.35,22.58,100.0,,,0,0,0,STABLE,LOW
10,2,ME,83.79,21.59,95.67,9.8,9.8,0,0,0,STABLE,LOW
10,3,ME,79.48,22.72,99.83,10.0,9.9,0,0,0,STABLE,LOW
10,4,ME,87.69,21.7,100.0,10.0,9.93,0,0,0,STABLE,LOW
10,5,ME,85.72,24.57,100.0,9.8,9.89,0,0,0,STABLE,LOW
10,6,ME,83.71,29.33,84.88,9.73,9.87,0,0,0,STABLE,LOW
10,7,ME,77.86,22.14,95.78,9.79,9.85,0,0,0,STABLE,LOW
10,8,ME,99.9,20.93,100.0,9.7,9.84,0,0,0,IMPROVING,LOW
11,1,ME,74.36,8.72,62.53,,,0,0,0,STABLE,LOW
11,2,ME,71.96,15.7,82.41,9.33,9.33,0,0,0,IMPROVING,LOW
11,3,ME,73.2,10.64,63.6,9.79,9.55,0,0,0,DECLINING,LOW
11,4,ME,77.77,2.32,65.84,9.08,9.41,0,0,0,DECLINING,LOW
11,5,ME,66.37,10.97,82.76,8.6,9.2,0,0,0,IMPROVING,LOW
11,6,ME,81.04,14.91,88.15,9.18,9.19,0,0,0,STABLE,LOW
11,7,ME,78.45,17.42,77.83,9.36,9.22,0,0,0,IMPROVING,LOW
11,8,ME,82.4,9.27,75.55,9.7,9.27,0,0,0,STABLE,LOW
12,1,EEE,82.23,26.99,100.0,,,0,0,0,STABLE,LOW
12,2,EEE,64.09,27.72,83.35,8.92,8.92,0,0,0,STABLE,LOW
12,3,EEE,88.13,22.53,96.87,9.14,9.04,0,0,0,STABLE,LOW
12,4,EEE,80.13,27.88,100.0,8.85,8.97,0,0,0,IMPROVING,LOW
12,5,EEE,88.35,21.31,92.55,9.18,9.02,0,0,0,IMPROVING,LOW
12,6,EEE,81.73,31.57,100.0,9.77,9.17,0,0,0,STABLE,LOW
12,7,EEE,79.07,30.38,99.5,10.0,9.31,0,0,0,DECLINING,LOW
12,8,EEE,67.51,24.29,98.54,9.5,9.34,0,0,0,IMPROVING,LOW
13,1,CSE,82.0,23.42,87.99,,,0,0,0,STABLE,LOW
13,2,CSE,63.89,13.39,88.22,9.82,9.82,0,0,0,DECLINING,MEDIUM
13,3,CSE,67.18,19.9,92.89,8.0,8.8,0,0,0,IMPROVING,LOW
13,4,CSE,64.06,24.71,88.72,9.27,8.94,0,0,0,DECLINING,LOW
13,5,CSE,65.91,16.96,81.34,8.4,8.78,0,0,0,STABLE,LOW
13,6,CSE,74.68,18.51,92.28,8.5,8.72,0,0,0,STABLE,MEDIUM
13,7,CSE,51.3,24.1,75.76,8.36,8.66,0,0,0,STABLE,MEDIUM
13,8,CSE,58.58,18.66,84.19,8.12,8.61,0,0,0,IMPROVING,MEDIUM
14,1,ECE,70.95,19.37,94.96,,,0,0,1,STABLE,HIGH
14,2,ECE,73.94,19.1,99.05,6.25,6.25,0,0,1,IMPROVING,MEDIUM
14,3,ECE,62.05,21.28,90.86,6.79,6.54,0,0,2,DECLINING,MEDIUM
14,4,ECE,70.1,19.08,78.25,6.44,6.51,0,0,3,DECLINING,HIGH
14,5,ECE,67.78,15.91,77.71,6.0,6.38,1,1,2,DECLINING,HIGH
14,6,ECE,82.58,21.73,86.57,5.21,6.11,1,0,2,IMPROVING,MEDIUM
14,7,ECE,68.11,24.65,78.69,6.45,6.17,1,0,0,IMPROVING,MEDIUM
14,8,ECE,74.24,21.5,85.46,7.25,6.32,1,0,0,DECLINING,MEDIUM
15,1,EEE,76.92,25.66,85.11,,,0,0,0,STABLE,MEDIUM
15,2,EEE,70.66,27.19,91.5,7.62,7.62,0,0,0,IMPROVING,LOW
15,3,EEE,67.85,20.71,100.0,8.43,8.04,0,0,0,DECLINING,MEDIUM
15,4,EEE,77.52,19.01,100.0,7.92,8.0,0,0,0,STABLE,MEDIUM
15,5,EEE,75.65,14.72,92.84,7.91,7.98,0,0,0,STABLE,LOW
15,6,EEE,86.07,30.11,100.0,8.0,7.98,1,1,1,DECLINING,MEDIUM
15,7,EEE,79.27,30.99,100.0,6.62,7.75,1,0,0,IMPROVING,LOW
15,8,EEE,76.07,17.69,94.1,8.33,7.83,1,0,0,DECLINING,MEDIUM
16,1,EEE,90.08,6.8,79.9,,,0,0,0,STABLE,MEDIUM
16,2,EEE,81.03,18.4,68.79,7.15,7.15,0,0,1,DECLINING,MEDIUM
16,3,EEE,68.0,15.86,88.22,6.71,6.93,0,0,0,IMPROVING,LOW
16,4,EEE,82.5,9.79,75.55,7.46,7.1,0,0,0,STABLE,MEDIUM
16,5,EEE,84.16,13.78,79.74,7.27,7.14,0,0,0,STABLE,MEDIUM
16,6,EEE,84.08,15.34,84.63,7.31,7.17,0,0,0,STABLE,MEDIUM
16,7,EEE,79.26,7.95,85.82,7.23,7.18,0,0,0,DECLINING,MEDIUM
16,8,EEE,70.86,17.83,83.11,6.92,7.15,0,0,1,STABLE,MEDIUM
17,1,EEE,54.98,18.34,72.39,,,0,0,0,STABLE,LOW
17,2,EEE,48.61,21.92,95.27,9.77,9.77,0,0,0,STABLE,LOW
17,3,EEE,50.91,23.13,85.37,9.79,9.78,0,0,0,STABLE,LOW
17,4,EEE,60.15,13.76,84.05,10.0,9.85,0,0,0,STABLE,LOW
17,5,EEE,46.71,19.28,90.28,10.0,9.88,0,0,0,STABLE,LOW
17,6,EEE,55.83,29.01,87.79,9.77,9.86,0,0,0,STABLE,LOW
17,7,EEE,52.28,27.47,88.04,10.0,9.88,0,0,0,STABLE,LOW
17,8,EEE,46.17,17.97,84.25,10.0,9.9,0,0,0,STABLE,LOW
18,1,CSE,82.35,9.09,85.41,,,0,0,0,STABLE,LOW
18,2,CSE,77.6,16.74,74.9,9.27,9.27,0,0,0,STABLE,LOW
18,3,CSE,71.66,15.52,69.75,9.36,9.32,0,0,0,STABLE,LOW
18,4,CSE,74.8,16.37,77.82,9.18,9.28,0,0,0,STABLE,MEDIUM
18,5,CSE,80.73,10.23,78.78,9.0,9.2,0,0,0,STABLE,LOW
18,6,CSE,83.27,9.39,84.91,9.14,9.18,0,0,0,DECLINING,LOW
18,7,CSE,73.16,8.62,71.33,8.14,9.0,0,0,0,DECLINING,MEDIUM
18,8,CSE,66.71,15.92,84.54,7.62,8.87,0,0,0,IMPROVING,MEDIUM
19,1,EEE,60.47,19.78,98.7,,,0,0,0,STABLE,LOW
19,2,EEE,65.47,21.64,94.22,9.69,9.69,0,0,0,DECLINING,LOW
19,3,EEE,62.29,27.48,89.24,9.14,9.41,0,0,0,IMPROVING,LOW
19,4,EEE,58.06,23.93,92.18,9.46,9.43,0,0,0,DECLINING,LOW
19,5,EEE,56.51,26.31,95.04,8.82,9.29,0,0,0,STABLE,LOW
19,6,EEE,69.92,19.42,98.05,8.54,9.14,0,0,0,STABLE,LOW
19,7,EEE,71.5,19.53,81.54,8.54,9.04,0,0,0,STABLE,LOW
19,8,EEE,58.03,31.55,100.0,8.67,8.99,0,0,0,IMPROVING,LOW
20,1,CSE,72.89,20.42,100.0,,,0,0,0,STABLE,MEDIUM
20,2,CSE,92.13,26.44,100.0,8.27,8.27,0,0,0,IMPROVING,LOW
20,3,CSE,75.85,23.52,100.0,9.43,8.92,0,0,0,DECLINING,LOW
20,4,CSE,80.81,30.55,100.0,7.64,8.53,0,0,0,IMPROVING,LOW
20,5,CSE,77.69,23.62,100.0,9.0,8.67,0,0,0,STABLE,LOW
20,6,CSE,87.35,29.84,100.0,8.71,8.68,0,0,0,STABLE,LOW
20,7,CSE,85.29,18.83,100.0,8.93,8.72,0,0,0,DECLINING,LOW
20,8,CSE,84.26,28.53,100.0,8.38,8.69,0,0,0,IMPROVING,LOW
21,1,EEE,77.85,21.22,96.02,,,0,0,0,STABLE,LOW
21,2,EEE,98.69,27.2,100.0,9.77,9.77,0,0,0,STABLE,LOW
21,3,EEE,93.11,29.2,99.15,9.79,9.78,0,0,0,STABLE,LOW
21,4,EEE,90.4,17.57,83.33,10.0,9.85,0,0,0,STABLE,LOW
21,5,EEE,99.07,21.52,76.5,10.0,9.88,0,0,0,STABLE,LOW
21,6,EEE,79.4,20.66,88.17,10.0,9.91,0,0,0,STABLE,LOW
21,7,EEE,82.66,18.84,97.81,10.0,9.92,0,0,0,STABLE,LOW
21,8,EEE,98.75,19.58,93.88,10.0,9.93,0,0,0,DECLINING,LOW
22,1,ME,81.68,13.12,78.26,,,0,0,0,STABLE,LOW
22,2,ME,83.31,13.78,81.81,8.53,8.53,0,0,0,DECLINING,LOW
22,3,ME,71.25,16.43,87.18,8.07,8.31,0,0,0,DECLINING,MEDIUM
22,4,ME,67.49,6.91,79.94,7.33,8.02,0,0,1,STABLE,MEDIUM
22,5,ME,68.61,15.63,71.25,7.6,7.91,0,0,0,IMPROVING,LOW
22,6,ME,68.94,11.2,78.47,7.91,7.91,0,0,0,STABLE,MEDIUM
22,7,ME,79.22,16.11,80.78,7.64,7.86,0,0,0,IMPROVING,MEDIUM
22,8,ME,62.82,12.6,82.3,8.8,7.97,0,0,0,DECLINING,MEDIUM
23,1,CSE,86.1,27.88,100.0,,,0,0,0,STABLE,LOW
23,2,CSE,68.28,31.49,100.0,9.27,9.27,0,0,0,STABLE,LOW
23,3,CSE,65.72,32.58,100.0,9.36,9.32,1,1,2,DECLINING,MEDIUM
23,4,CSE,81.12,29.2,100.0,7.45,8.75,1,0,0,IMPROVING,LOW
23,5,CSE,78.01,28.41,100.0,9.0,8.82,1,0,0,DECLINING,LOW
23,6,CSE,77.22,29.14,100.0,8.57,8.77,1,0,0,STABLE,LOW
23,7,CSE,75.06,31.79,100.0,8.29,8.68,1,0,0,IMPROVING,LOW
23,8,CSE,76.35,29.68,100.0,9.0,8.71,1,0,0,STABLE,LOW
24,1,CE,83.52,17.25,91.51,,,0,0,0,STABLE,MEDIUM
24,2,CE,78.11,10.53,71.88,6.53,6.53,0,0,1,IMPROVING,MEDIUM
24,3,CE,68.99,9.83,83.01,7.13,6.83,0,0,2,DECLINING,MEDIUM
24,4,CE,71.43,25.24,85.82,6.25,6.67,0,0,0,IMPROVING,MEDIUM
24,5,CE,78.92,24.2,83.49,8.0,6.94,0,0,0,STABLE,LOW
24,6,CE,76.62,10.44,83.42,7.75,7.09,0,0,2,DECLINING,MEDIUM
24,7,CE,70.49,10.88,76.26,6.64,7.01,0,0,1,IMPROVING,MEDIUM
24,8,CE,77.52,15.84,81.54,7.33,7.05,0,0,0,DECLINING,MEDIUM
25,3,EEE,82.24,12.47,70.55,,,0,0,0,STABLE,LOW
25,4,EEE,91.25,11.1,70.19,9.31,9.31,0,0,0,IMPROVING,LOW
25,5,EEE,84.55,12.05,71.76,10.0,9.62,0,0,0,STABLE,LOW
25,6,EEE,82.38,9.23,71.1,9.77,9.68,0,0,0,STABLE,LOW
25,7,EEE,88.21,5.01,75.41,9.54,9.64,0,0,0,STABLE,LOW
25,8,EEE,82.46,12.93,74.83,9.75,9.66,0,0,0,STABLE,LOW
26,1,EEE,58.78,23.76,76.52,,,0,0,0,STABLE,LOW
26,2,EEE,70.32,19.93,79.45,9.54,9.54,0,0,0,DECLINING,LOW
26,3,EEE,65.33,24.35,73.12,8.57,9.04,0,0,0,IMPROVING,LOW
26,4,EEE,66.85,19.36,91.53,8.92,9.0,0,0,0,DECLINING,LOW
26,5,EEE,75.93,18.87,86.94,8.45,8.88,0,0,1,DECLINING,MEDIUM
26,6,EEE,70.55,18.91,71.77,7.46,8.59,0,0,0,IMPROVING,LOW
26,7,EEE,60.82,18.42,97.37,8.23,8.53,0,0,0,STABLE,LOW
26,8,EEE,77.99,22.83,88.31,8.42,8.52,0,0,0,IMPROVING,LOW
27,3,CSE,87.94,22.27,100.0,,,0,0,0,STABLE,LOW
27,4,CSE,96.63,19.74,100.0,8.91,8.91,0,0,0,IMPROVING,LOW
27,5,CSE,84.97,24.89,97.88,9.6,9.31,0,0,0,STABLE,LOW
27,6,CSE,86.46,25.32,97.75,9.36,9.32,0,0,0,DECLINING,LOW
27,7,CSE,100.0,19.97,100.0,9.0,9.24,0,0,0,IMPROVING,LOW
27,8,CSE,100.0,23.15,81.12,9.75,9.31,0,0,0,STABLE,LOW
28,1,CSE,91.62,16.49,100.0,,,0,0,0,STABLE,LOW
28,2,CSE,63.7,20.02,83.63,7.0,7.0,0,0,0,STABLE,MEDIUM
28,3,CSE,77.38,15.27,76.66,6.93,6.96,0,0,1,STABLE,LOW
28,4,CSE,77.7,23.74,79.75,7.0,6.97,0,0,1,STABLE,MEDIUM
28,5,CSE,80.92,16.26,100.0,7.0,6.98,0,0,0,IMPROVING,MEDIUM
28,6,CSE,88.73,11.3,76.81,7.43,7.08,0,0,1,DECLINING,MEDIUM
28,7,CSE,88.84,16.01,88.59,6.57,6.99,0,0,0,IMPROVING,LOW
28,8,CSE,91.13,16.19,88.16,6.88,6.98,0,0,1,IMPROVING,LOW
29,1,CSE,60.15,22.09,73.82,,,0,0,0,STABLE,LOW
29,2,CSE,82.0,18.27,80.39,8.73,8.73,0,0,0,STABLE,LOW
29,3,CSE,66.24,10.77,79.06,8.93,8.84,0,0,1,DECLINING,MEDIUM
29,4,CSE,78.43,9.46,92.01,7.64,8.47,0,0,0,IMPROVING,LOW
29,5,CSE,77.85,16.58,80.58,8.6,8.51,0,0,0,IMPROVING,LOW
29,6,CSE,68.38,12.71,91.37,9.14,8.65,0,0,0,DECLINING,LOW
29,7,CSE,59.61,17.36,84.27,8.21,8.57,0,0,0,STABLE,MEDIUM
29,8,CSE,80.45,8.34,75.25,8.25,8.54,0,0,0,IMPROVING,LOW
30,1,ECE,71.87,13.6,75.47,,,0,0,0,STABLE,MEDIUM
30,2,ECE,88.31,14.59,88.34,7.0,7.0,0,0,0,IMPROVING,LOW
30,3,ECE,88.68,13.14,94.4,7.79,7.42,0,0,0,STABLE,LOW
30,4,ECE,92.62,25.2,76.47,8.0,7.57,0,0,0,STABLE,LOW
30,5,ECE,90.27,6.76,70.75,8.25,7.74,0,0,0,DECLINING,MEDIUM
30,6,ECE,83.44,14.95,79.37,6.79,7.52,0,0,0,IMPROVING,LOW
30,7,ECE,76.68,16.76,74.57,8.0,7.6,0,0,0,STABLE,LOW
30,8,ECE,80.69,16.21,70.76,8.17,7.68,0,0,0,DECLINING,MEDIUM
31,1,CE,78.34,27.02,83.64,,,0,0,0,STABLE,LOW
31,2,CE,90.08,13.38,100.0,9.2,9.2,0,0,0,IMPROVING,LOW
31,3,CE,83.98,18.79,86.6,9.73,9.47,0,0,0,STABLE,LOW
31,4,CE,82.21,24.28,86.41,9.5,9.48,0,0,0,DECLINING,LOW
31,5,CE,73.07,18.47,87.87,9.18,9.42,0,0,0,DECLINING,LOW
31,6,CE,85.45,32.7,83.56,8.75,9.29,0,0,0,IMPROVING,LOW
31,7,CE,78.82,12.9,87.15,9.64,9.35,0,0,0,DECLINING,MEDIUM
31,8,CE,90.04,20.42,83.92,9.0,9.32,0,0,0,IMPROVING,LOW
32,1,CSE,82.65,26.25,98.19,,,0,0,0,STABLE,LOW
32,2,CSE,80.35,27.45,100.0,9.64,9.64,0,0,0,STABLE,LOW
32,3,CSE,71.91,20.0,100.0,9.43,9.52,0,0,0,STABLE,LOW
32,4,CSE,83.0,23.1,100.0,9.18,9.42,0,0,0,STABLE,LOW
32,5,CSE,83.98,23.44,99.58,9.2,9.35,0,0,0,IMPROVING,LOW
32,6,CSE,81.17,19.72,91.85,9.64,9.42,0,0,0,STABLE,LOW
32,7,CSE,74.06,26.4,75.29,9.36,9.41,0,0,0,IMPROVING,LOW
32,8,CSE,71.24,29.7,100.0,10.0,9.46,0,0,0,STABLE,LOW
33,1,CSE,94.71,14.81,90.27,,,0,0,0,STABLE,LOW
33,2,CSE,76.6,11.57,64.25,10.0,10.0,0,0,0,DECLINING,LOW
33,3,CSE,82.25,9.23,63.44,9.43,9.68,0,0,0,DECLINING,LOW
33,4,CSE,79.92,13.68,63.49,9.0,9.47,0,0,0,DECLINING,LOW
33,5,CSE,81.18,15.19,84.24,8.6,9.22,0,0,1,STABLE,LOW
33,6,CSE,79.27,16.61,85.89,8.71,9.11,0,0,0,IMPROVING,LOW
33,7,CSE,79.1,20.32,65.99,9.57,9.19,0,0,0,IMPROVING,LOW
33,8,CSE,92.03,18.81,79.08,10.0,9.26,0,0,0,STABLE,LOW
34,1,EEE,90.61,20.23,94.44,,,0,0,0,STABLE,LOW
34,2,EEE,86.96,27.81,100.0,8.38,8.38,0,0,0,IMPROVING,LOW
34,3,EEE,82.06,27.47,95.11,9.14,8.78,0,0,0,STABLE,LOW
34,4,EEE,72.76,24.19,97.28,8.92,8.82,0,0,0,STABLE,LOW
34,5,EEE,78.01,17.85,100.0,9.18,8.9,0,0,0,DECLINING,MEDIUM
34,6,EEE,72.5,23.36,100.0,8.0,8.72,0,0,0,STABLE,LOW
34,7,EEE,99.46,25.86,94.57,7.85,8.57,0,0,0,IMPROVING,LOW
34,8,EEE,90.11,27.73,88.16,8.92,8.62,0,0,0,DECLINING,LOW
35,1,CSE,89.77,19.54,93.77,,,0,0,0,STABLE,LOW
35,2,CSE,78.81,16.12,100.0,9.82,9.82,0,0,0,DECLINING,LOW
35,3,CSE,73.58,20.42,92.7,9.5,9.64,0,0,0,IMPROVING,LOW
35,4,CSE,98.55,16.65,87.29,10.0,9.75,0,0,0,DECLINING,LOW
35,5,CSE,77.64,20.4,73.93,9.0,9.53,0,0,0,IMPROVING,LOW
35,6,CSE,71.69,19.42,80.9,10.0,9.63,0,0,0,DECLINING,LOW
35,7,CSE,92.73,21.09,92.37,9.14,9.54,0,0,0,IMPROVING,LOW
35,8,CSE,81.19,8.55,86.57,10.0,9.59,0,0,0,DECLINING,LOW
36,1,CSE,72.62,22.47,100.0,,,0,0,0,STABLE,MEDIUM
36,2,CSE,80.31,27.2,89.73,7.45,7.45,0,0,0,IMPROVING,LOW
36,3,CSE,76.65,21.37,72.7,8.57,8.08,0,0,0,DECLINING,LOW
36,4,CSE,82.41,24.93,85.48,7.91,8.03,0,0,0,IMPROVING,LOW
36,5,CSE,76.36,16.23,91.93,9.0,8.31,0,0,0,DECLINING,MEDIUM
36,6,CSE,73.36,24.16,73.41,7.71,8.18,0,0,0,IMPROVING,LOW
36,7,CSE,65.99,21.34,83.66,9.0,8.33,0,0,0,DECLINING,LOW
36,8,CSE,67.73,18.42,89.18,7.62,8.26,0,0,0,STABLE,MEDIUM
37,1,CE,66.39,24.39,100.0,,,0,0,0,STABLE,LOW
37,2,CE,84.42,31.08,100.0,9.4,9.4,0,0,0,IMPROVING,LOW
37,3,CE,63.2,31.35,92.05,10.0,9.7,0,0,0,DECLINING,LOW
37,4,CE,80.91,34.69,100.0,9.0,9.5,0,0,0,IMPROVING,LOW
37,5,CE,85.73,39.15,100.0,10.0,9.6,0,0,0,STABLE,LOW
37,6,CE,76.85,34.1,100.0,10.0,9.68,0,0,0,DECLINING,LOW
37,7,CE,82.56,30.62,100.0,9.43,9.63,0,0,0,STABLE,LOW
37,8,CE,66.57,39.98,100.0,9.33,9.6,0,0,0,IMPROVING,LOW
38,1,EEE,95.08,19.57,100.0,,,0,0,0,STABLE,LOW
38,2,EEE,81.8,22.06,84.41,9.08,9.08,0,0,0,DECLINING,MEDIUM
38,3,EEE,85.15,13.47,92.42,7.79,8.41,0,0,0,IMPROVING,LOW
38,4,EEE,84.95,16.67,81.49,9.31,8.7,0,0,0,DECLINING,LOW
38,5,EEE,87.46,23.72,100.0,7.91,8.53,0,0,0,IMPROVING,LOW
38,6,EEE,83.3,20.43,76.42,9.08,8.64,0,0,1,DECLINING,LOW
38,7,EEE,96.63,17.58,100.0,8.0,8.53,0,0,0,IMPROVING,LOW
38,8,EEE,97.9,19.59,100.0,9.67,8.69,0,0,0,STABLE,LOW
39,1,ME,82.08,20.35,97.17,,,0,0,0,STABLE,LOW
39,2,ME,77.97,26.42,100.0,9.6,9.6,0,0,0,DECLINING,LOW
39,3,ME,80.3,18.9,93.36,9.14,9.38,0,0,0,STABLE,LOW
39,4,ME,79.25,21.22,85.61,9.08,9.29,1,1,1,DECLINING,MEDIUM
39,5,ME,68.53,22.32,81.39,7.6,8.84,1,0,0,IMPROVING,LOW
39,6,ME,70.95,19.82,99.71,8.73,8.82,1,0,0,IMPROVING,LOW
39,7,ME,69.33,24.63,99.32,9.21,8.89,1,0,0,IMPROVING,LOW
39,8,ME,78.23,25.76,100.0,9.7,8.98,1,0,0,IMPROVING,LOW
40,1,EEE,69.7,28.55,88.21,,,0,0,0,STABLE,MEDIUM
40,2,EEE,83.07,18.91,90.97,8.85,8.85,0,0,0,STABLE,LOW
40,3,EEE,83.14,18.86,77.48,8.57,8.7,0,0,0,STABLE,LOW
40,4,EEE,74.95,22.92,87.55,8.31,8.57,0,0,0,IMPROVING,MEDIUM
40,5,EEE,91.02,22.93,95.23,9.0,8.67,0,0,0,STABLE,LOW
40,6,EEE,92.7,23.03,83.88,9.0,8.73,0,0,0,IMPROVING,LOW
40,7,EEE,85.74,22.04,94.4,9.31,8.83,0,0,0,STABLE,LOW
40,8,EEE,76.69,17.79,83.73,9.33,8.9,0,0,0,DECLINING,LOW
41,1,EEE,63.29,14.7,78.35,,,0,0,0,STABLE,LOW
41,2,EEE,71.07,12.87,78.55,9.31,9.31,0,0,0,STABLE,LOW
41,3,EEE,65.08,13.37,65.88,9.36,9.33,0,0,0,STABLE,LOW
