student_id,registration_number,semester,academic_year,attendance_percentage,study_hours_per_week,assignments_completed_percentage,class_participation,sgpa,cgpa,previous_sgpa,previous_cgpa,backlog_count,current_failed_courses,low_performance_course_count,performance_trend
11,REG2022ME00011,2,2022,71.96,15.7,82.41,78.2,9.79,9.55,9.33,9.33,0,0,0,IMPROVING
11,REG2022ME00011,3,2023,73.2,10.64,63.6,100.0,9.08,9.41,9.79,9.55,0,0,0,DECLINING
11,REG2022ME00011,4,2023,77.77,2.32,65.84,97.74,8.6,9.2,9.08,9.41,0,0,0,DECLINING
11,REG2022ME00011,5,2024,66.37,10.97,82.76,62.88,9.18,9.19,8.6,9.2,0,0,0,IMPROVING
11,REG2022ME00011,6,2024,81.04,14.91,88.15,92.79,9.36,9.22,9.18,9.19,0,0,0,STABLE
11,REG2022ME00011,7,2025,78.45,17.42,77.83,71.26,9.7,9.27,9.36,9.22,0,0,0,IMPROVING
11,REG2022ME00011,8,2025,82.4,9.27,75.55,100.0,9.69,9.34,9.7,9.27,0,0,0,STABLE
12,REG2022EEE00012,1,2022,82.23,26.99,100.0,83.63,8.92,8.92,,,0,0,0,STABLE
12,REG2022EEE00012,2,2022,64.09,27.72,83.35,83.24,9.14,9.04,8.92,8.92,0,0,0,STABLE
12,REG2022EEE00012,3,2023,88.13,22.53,96.87,80.96,8.85,8.97,9.14,9.04,0,0,0,STABLE
12,REG2022EEE00012,4,2023,80.13,27.88,100.0,83.91,9.18,9.02,8.85,8.97,0,0,0,IMPROVING
12,REG2022EEE00012,5,2024,88.35,21.31,92.55,75.66,9.77,9.17,9.18,9.02,0,0,0,IMPROVING
12,REG2022EEE00012,6,2024,81.73,31.57,100.0,74.39,10.0,9.31,9.77,9.17,0,0,0,STABLE
12,REG2022EEE00012,7,2025,79.07,30.38,99.5,60.78,9.5,9.34,10.0,9.31,0,0,0,DECLINING
12,REG2022EEE00012,8,2025,67.51,24.29,98.54,70.77,9.8,9.4,9.5,9.34,0,0,0,IMPROVING
13,REG2021CSE00013,1,2021,82.0,23.42,87.99,83.19,9.82,9.82,,,0,0,0,STABLE
13,REG2021CSE00013,2,2021,63.89,13.39,88.22,69.47,8.0,8.8,9.82,9.82,0,0,0,DECLINING
13,REG2021CSE00013,3,2022,67.18,19.9,92.89,73.6,9.27,8.94,8.0,8.8,0,0,0,IMPROVING
13,REG2021CSE00013,4,2022,64.06,24.71,88.72,46.55,8.4,8.78,9.27,8.94,0,0,0,DECLINING
13,REG2021CSE00013,5,2023,65.91,16.96,81.34,64.63,8.5,8.72,8.4,8.78,0,0,0,STABLE
13,REG2021CSE00013,6,2023,74.68,18.51,92.28,66.48,8.36,8.66,8.5,8.72,0,0,0,STABLE
13,REG2021CSE00013,7,2024,51.3,24.1,75.76,72.68,8.12,8.61,8.36,8.66,0,0,0,STABLE
13,REG2021CSE00013,8,2024,58.58,18.66,84.19,71.46,8.77,8.63,8.12,8.61,0,0,0,IMPROVING
14,REG2022ECE00014,1,2022,70.95,19.37,94.96,47.83,6.25,6.25,,,0,0,1,STABLE
14,REG2022ECE00014,2,2022,73.94,19.1,99.05,41.07,6.79,6.54,6.25,6.25,0,0,1,IMPROVING
14,REG2022ECE00014,3,2023,62.05,21.28,90.86,40.06,6.44,6.51,6.79,6.54,0,0,2,DECLINING
14,REG2022ECE00014,4,2023,70.1,19.08,78.25,41.15,6.0,6.38,6.44,6.51,0,0,3,DECLINING
14,REG2022ECE00014,5,2024,67.78,15.91,77.71,47.75,5.21,6.11,6.0,6.38,1,1,2,DECLINING
14,REG2022ECE00014,6,2024,82.58,21.73,86.57,36.98,6.45,6.17,5.21,6.11,1,0,2,IMPROVING
14,REG2022ECE00014,7,2025,68.11,24.65,78.69,41.61,7.25,6.32,6.45,6.17,1,0,0,IMPROVING
14,REG2022ECE00014,8,2025,74.24,21.5,85.46,47.97,6.77,6.38,7.25,6.32,1,0,0,DECLINING
15,REG2021EEE00015,1,2021,76.92,25.66,85.11,80.72,7.62,7.62,,,0,0,0,STABLE
15,REG2021EEE00015,2,2021,70.66,27.19,91.5,85.75,8.43,8.04,7.62,7.62,0,0,0,IMPROVING
15,REG2021EEE00015,3,2022,67.85,20.71,100.0,60.98,7.92,8.0,8.43,8.04,0,0,0,DECLINING
15,REG2021EEE00015,4,2022,77.52,19.01,100.0,72.05,7.91,7.98,7.92,8.0,0,0,0,STABLE
15,REG2021EEE00015,5,2023,75.65,14.72,92.84,67.37,8.0,7.98,7.91,7.98,0,0,0,STABLE
15,REG2021EEE00015,6,2023,86.07,30.11,100.0,72.16,6.62,7.75,8.0,7.98,1,1,1,DECLINING
15,REG2021EEE00015,7,2024,79.27,30.99,100.0,54.11,8.33,7.83,6.62,7.75,1,0,0,IMPROVING
15,REG2021EEE00015,8,2024,76.07,17.69,94.1,82.55,7.27,7.75,8.33,7.83,1,0,0,DECLINING
16,REG2023EEE00016,1,2023,90.08,6.8,79.9,63.56,7.15,7.15,,,0,0,0,STABLE
16,REG2023EEE00016,2,2023,81.03,18.4,68.79,55.54,6.71,6.93,7.15,7.15,0,0,1,DECLINING
16,REG2023EEE00016,3,2024,68.0,15.86,88.22,45.32,7.46,7.1,6.71,6.93,0,0,0,IMPROVING
16,REG2023EEE00016,4,2024,82.5,9.79,75.55,75.07,7.27,7.14,7.46,7.1,0,0,0,STABLE
16,REG2023EEE00016,5,2025,84.16,13.78,79.74,44.78,7.31,7.17,7.27,7.14,0,0,0,STABLE
16,REG2023EEE00016,6,2025,84.08,15.34,84.63,74.0,7.23,7.18,7.31,7.17,0,0,0,STABLE
16,REG2023EEE00016,7,2026,79.26,7.95,85.82,58.71,6.92,7.15,7.23,7.18,0,0,0,DECLINING
16,REG2023EEE00016,8,2026,70.86,17.83,83.11,47.13,7.13,7.14,6.92,7.15,0,0,1,STABLE
17,REG2021EEE00017,1,2021,54.98,18.34,72.39,100.0,9.77,9.77,,,0,0,0,STABLE
17,REG2021EEE00017,2,2021,48.61,21.92,95.27,93.73,9.79,9.78,9.77,9.77,0,0,0,STABLE
17,REG2021EEE00017,3,2022,50.91,23.13,85.37,83.78,10.0,9.85,9.79,9.78,0,0,0,STABLE
17,REG2021EEE00017,4,2022,60.15,13.76,84.05,98.07,10.0,9.88,10.0,9.85,0,0,0,STABLE
17,REG2021EEE00017,5,2023,46.71,19.28,90.28,92.72,9.77,9.86,10.0,9.88,0,0,0,STABLE
17,REG2021EEE00017,6,2023,55.83,29.01,87.79,100.0,10.0,9.88,9.77,9.86,0,0,0,STABLE
17,REG2021EEE00017,7,2024,52.28,27.47,88.04,95.61,10.0,9.9,10.0,9.88,0,0,0,STABLE
17,REG2021EEE00017,8,2024,46.17,17.97,84.25,95.7,10.0,9.91,10.0,9.9,0,0,0,STABLE
18,REG2022CSE00018,1,2022,82.35,9.09,85.41,92.25,9.27,9.27,,,0,0,0,STABLE
18,REG2022CSE00018,2,2022,77.6,16.74,74.9,65.7,9.36,9.32,9.27,9.27,0,0,0,STABLE
18,REG2022CSE00018,3,2023,71.66,15.52,69.75,75.77,9.18,9.28,9.36,9.32,0,0,0,STABLE
18,REG2022CSE00018,4,2023,74.8,16.37,77.82,78.4,9.0,9.2,9.18,9.28,0,0,0,STABLE
18,REG2022CSE00018,5,2024,80.73,10.23,78.78,67.7,9.14,9.18,9.0,9.2,0,0,0,STABLE
18,REG2022CSE00018,6,2024,83.27,9.39,84.91,61.83,8.14,9.0,9.14,9.18,0,0,0,DECLINING
18,REG2022CSE00018,7,2025,73.16,8.62,71.33,77.04,7.62,8.87,8.14,9.0,0,0,0,DECLINING
18,REG2022CSE00018,8,2025,66.71,15.92,84.54,69.3,8.15,8.78,7.62,8.87,0,0,0,IMPROVING
19,REG2021EEE00019,1,2021,60.47,19.78,98.7,71.33,9.69,9.69,,,0,0,0,STABLE
19,REG2021EEE00019,2,2021,65.47,21.64,94.22,80.63,9.14,9.41,9.69,9.69,0,0,0,DECLINING
19,REG2021EEE00019,3,2022,62.29,27.48,89.24,72.89,9.46,9.43,9.14,9.41,0,0,0,IMPROVING
19,REG2021EEE00019,4,2022,58.06,23.93,92.18,61.2,8.82,9.29,9.46,9.43,0,0,0,DECLINING
19,REG2021EEE00019,5,2023,56.51,26.31,95.04,72.95,8.54,9.14,8.82,9.29,0,0,0,STABLE
19,REG2021EEE00019,6,2023,69.92,19.42,98.05,95.48,8.54,9.04,8.54,9.14,0,0,0,STABLE
19,REG2021EEE00019,7,2024,71.5,19.53,81.54,75.81,8.67,8.99,8.54,9.04,0,0,0,STABLE
19,REG2021EEE00019,8,2024,58.03,31.55,100.0,75.52,9.53,9.07,8.67,8.99,0,0,0,IMPROVING
20,REG2023CSE00020,1,2023,72.89,20.42,100.0,57.38,8.27,8.27,,,0,0,0,STABLE
20,REG2023CSE00020,2,2023,92.13,26.44,100.0,69.05,9.43,8.92,8.27,8.27,0,0,0,IMPROVING
20,REG2023CSE00020,3,2024,75.85,23.52,100.0,69.91,7.64,8.53,9.43,8.92,0,0,0,DECLINING
20,REG2023CSE00020,4,2024,80.81,30.55,100.0,74.78,9.0,8.67,7.64,8.53,0,0,0,IMPROVING
20,REG2023CSE00020,5,2025,77.69,23.62,100.0,70.88,8.71,8.68,9.0,8.67,0,0,0,STABLE
20,REG2023CSE00020,6,2025,87.35,29.84,100.0,71.95,8.93,8.72,8.71,8.68,0,0,0,STABLE
20,REG2023CSE00020,7,2026,85.29,18.83,100.0,82.25,8.38,8.69,8.93,8.72,0,0,0,DECLINING
20,REG2023CSE00020,8,2026,84.26,28.53,100.0,70.01,9.08,8.74,8.38,8.69,0,0,0,IMPROVING
21,REG2023EEE00021,1,2023,77.85,21.22,96.02,96.57,9.77,9.77,,,0,0,0,STABLE
21,REG2023EEE00021,2,2023,98.69,27.2,100.0,99.34,9.79,9.78,9.77,9.77,0,0,0,STABLE
21,REG2023EEE00021,3,2024,93.11,29.2,99.15,100.0,10.0,9.85,9.79,9.78,0,0,0,STABLE
21,REG2023EEE00021,4,2024,90.4,17.57,83.33,100.0,10.0,9.88,10.0,9.85,0,0,0,STABLE
21,REG2023EEE00021,5,2025,99.07,21.52,76.5,100.0,10.0,9.91,10.0,9.88,0,0,0,STABLE
21,REG2023EEE00021,6,2025,79.4,20.66,88.17,91.22,10.0,9.92,10.0,9.91,0,0,0,STABLE
21,REG2023EEE00021,7,2026,82.66,18.84,97.81,100.0,10.0,9.93,10.0,9.92,0,0,0,STABLE
21,REG2023EEE00021,8,2026,98.75,19.58,93.88,100.0,9.6,9.88,10.0,9.93,0,0,0,DECLINING
22,REG2023ME00022,1,2023,81.68,13.12,78.26,80.62,8.53,8.53,,,0,0,0,STABLE
22,REG2023ME00022,2,2023,83.31,13.78,81.81,66.3,8.07,8.31,8.53,8.53,0,0,0,DECLINING
22,REG2023ME00022,3,2024,71.25,16.43,87.18,52.82,7.33,8.02,8.07,8.31,0,0,0,DECLINING
22,REG2023ME00022,4,2024,67.49,6.91,79.94,53.32,7.6,7.91,7.33,8.02,0,0,1,STABLE
22,REG2023ME00022,5,2025,68.61,15.63,71.25,62.47,7.91,7.91,7.6,7.91,0,0,0,IMPROVING
22,REG2023ME00022,6,2025,68.94,11.2,78.47,49.73,7.64,7.86,7.91,7.91,0,0,0,STABLE
22,REG2023ME00022,7,2026,79.22,16.11,80.78,60.88,8.8,7.97,7.64,7.86,0,0,0,IMPROVING
22,REG2023ME00022,8,2026,62.82,12.6,82.3,73.44,7.19,7.85,8.8,7.97,0,0,0,DECLINING
23,REG2021CSE00023,1,2021,86.1,27.88,100.0,66.86,9.27,9.27,,,0,0,0,STABLE
23,REG2021CSE00023,2,2021,68.28,31.49,100.0,60.1,9.36,9.32,9.27,9.27,0,0,0,STABLE
23,REG2021CSE00023,3,2022,65.72,32.58,100.0,50.98,7.45,8.75,9.36,9.32,1,1,2,DECLINING
23,REG2021CSE00023,4,2022,81.12,29.2,100.0,64.18,9.0,8.82,7.45,8.75,1,0,0,IMPROVING
23,REG2021CSE00023,5,2023,78.01,28.41,100.0,68.74,8.57,8.77,9.0,8.82,1,0,0,DECLINING
23,REG2021CSE00023,6,2023,77.22,29.14,100.0,82.69,8.29,8.68,8.57,8.77,1,0,0,STABLE
23,REG2021CSE00023,7,2024,75.06,31.79,100.0,49.05,9.0,8.71,8.29,8.68,1,0,0,IMPROVING
23,REG2021CSE00023,8,2024,76.35,29.68,100.0,69.39,9.08,8.76,9.0,8.71,1,0,0,STABLE
24,REG2021CE00024,1,2021,83.52,17.25,91.51,65.26,6.53,6.53,,,0,0,0,STABLE
24,REG2021CE00024,2,2021,78.11,10.53,71.88,57.23,7.13,6.83,6.53,6.53,0,0,1,IMPROVING
24,REG2021CE00024,3,2022,68.99,9.83,83.01,56.01,6.25,6.67,7.13,6.83,0,0,2,DECLINING
24,REG2021CE00024,4,2022,71.43,25.24,85.82,60.62,8.0,6.94,6.25,6.67,0,0,0,IMPROVING
24,REG2021CE00024,5,2023,78.92,24.2,83.49,57.13,7.75,7.09,8.0,6.94,0,0,0,STABLE
24,REG2021CE00024,6,2023,76.62,10.44,83.42,76.24,6.64,7.01,7.75,7.09,0,0,2,DECLINING
24,REG2021CE00024,7,2024,70.49,10.88,76.26,33.57,7.33,7.05,6.64,7.01,0,0,1,IMPROVING
24,REG2021CE00024,8,2024,77.52,15.84,81.54,69.54,6.83,7.02,7.33,7.05,0,0,0,DECLINING
25,REG2023EEE00025,3,2024,82.24,12.47,70.55,100.0,9.31,9.31,,,0,0,0,STABLE
25,REG2023EEE00025,4,2024,91.25,11.1,70.19,100.0,10.0,9.62,9.31,9.31,0,0,0,IMPROVING
25,REG2023EEE00025,5,2025,84.55,12.05,71.76,89.76,9.77,9.68,10.0,9.62,0,0,0,STABLE
25,REG2023EEE00025,6,2025,82.38,9.23,71.1,100.0,9.54,9.64,9.77,9.68,0,0,0,STABLE
25,REG2023EEE00025,7,2026,88.21,5.01,75.41,100.0,9.75,9.66,9.54,9.64,0,0,0,STABLE
25,REG2023EEE00025,8,2026,82.46,12.93,74.83,93.92,10.0,9.73,9.75,9.66,0,0,0,STABLE
26,REG2023EEE00026,1,2023,58.78,23.76,76.52,75.66,9.54,9.54,,,0,0,0,STABLE
26,REG2023EEE00026,2,2023,70.32,19.93,79.45,62.31,8.57,9.04,9.54,9.54,0,0,0,DECLINING
26,REG2023EEE00026,3,2024,65.33,24.35,73.12,72.11,8.92,9.0,8.57,9.04,0,0,0,IMPROVING
26,REG2023EEE00026,4,2024,66.85,19.36,91.53,78.39,8.45,8.88,8.92,9.0,0,0,0,DECLINING
26,REG2023EEE00026,5,2025,75.93,18.87,86.94,74.08,7.46,8.59,8.45,8.88,0,0,1,DECLINING
26,REG2023EEE00026,6,2025,70.55,18.91,71.77,73.89,8.23,8.53,7.46,8.59,0,0,0,IMPROVING
26,REG2023EEE00026,7,2026,60.82,18.42,97.37,64.98,8.42,8.52,8.23,8.53,0,0,0,STABLE
26,REG2023EEE00026,8,2026,77.99,22.83,88.31,75.78,8.8,8.56,8.42,8.52,0,0,0,IMPROVING
27,REG2023CSE00027,3,2024,87.94,22.27,100.0,100.0,8.91,8.91,,,0,0,0,STABLE
27,REG2023CSE00027,4,2024,96.63,19.74,100.0,74.93,9.6,9.31,8.91,8.91,0,0,0,IMPROVING
27,REG2023CSE00027,5,2025,84.97,24.89,97.88,85.41,9.36,9.32,9.6,9.31,0,0,0,STABLE
27,REG2023CSE00027,6,2025,86.46,25.32,97.75,72.43,9.0,9.24,9.36,9.32,0,0,0,DECLINING
27,REG2023CSE00027,7,2026,100.0,19.97,100.0,69.74,9.75,9.31,9.0,9.24,0,0,0,IMPROVING
27,REG2023CSE00027,8,2026,100.0,23.15,81.12,77.98,9.46,9.33,9.75,9.31,0,0,0,STABLE
28,REG2022CSE00028,1,2022,91.62,16.49,100.0,79.54,7.0,7.0,,,0,0,0,STABLE
28,REG2022CSE00028,2,2022,63.7,20.02,83.63,54.08,6.93,6.96,7.0,7.0,0,0,0,STABLE
28,REG2022CSE00028,3,2023,77.38,15.27,76.66,55.09,7.0,6.97,6.93,6.96,0,0,1,STABLE
28,REG2022CSE00028,4,2023,77.7,23.74,79.75,64.03,7.0,6.98,7.0,6.97,0,0,1,STABLE
28,REG2022CSE00028,5,2024,80.92,16.26,100.0,53.34,7.43,7.08,7.0,6.98,0,0,0,IMPROVING
28,REG2022CSE00028,6,2024,88.73,11.3,76.81,68.33,6.57,6.99,7.43,7.08,0,0,1,DECLINING
28,REG2022CSE00028,7,2025,88.84,16.01,88.59,48.32,6.88,6.98,6.57,6.99,0,0,0,IMPROVING
28,REG2022CSE00028,8,2025,91.13,16.19,88.16,49.67,7.31,7.02,6.88,6.98,0,0,1,IMPROVING
29,REG2022CSE00029,1,2022,60.15,22.09,73.82,73.99,8.73,8.73,,,0,0,0,STABLE
29,REG2022CSE00029,2,2022,82.0,18.27,80.39,100.0,8.93,8.84,8.73,8.73,0,0,0,STABLE
29,REG2022CSE00029,3,2023,66.24,10.77,79.06,79.86,7.64,8.47,8.93,8.84,0,0,1,DECLINING
29,REG2022CSE00029,4,2023,78.43,9.46,92.01,91.2,8.6,8.51,7.64,8.47,0,0,0,IMPROVING
29,REG2022CSE00029,5,2024,77.85,16.58,80.58,72.54,9.14,8.65,8.6,8.51,0,0,0,IMPROVING
29,REG2022CSE00029,6,2024,68.38,12.71,91.37,71.91,8.21,8.57,9.14,8.65,0,0,0,DECLINING
29,REG2022CSE00029,7,2025,59.61,17.36,84.27,58.26,8.25,8.54,8.21,8.57,0,0,0,STABLE
29,REG2022CSE00029,8,2025,80.45,8.34,75.25,75.41,8.92,8.59,8.25,8.54,0,0,0,IMPROVING
30,REG2021ECE00030,1,2021,71.87,13.6,75.47,74.14,7.0,7.0,,,0,0,0,STABLE
30,REG2021ECE00030,2,2021,88.31,14.59,88.34,70.06,7.79,7.42,7.0,7.0,0,0,0,IMPROVING
30,REG2021ECE00030,3,2022,88.68,13.14,94.4,79.64,8.0,7.57,7.79,7.42,0,0,0,STABLE
30,REG2021ECE00030,4,2022,92.62,25.2,76.47,92.46,8.25,7.74,8.0,7.57,0,0,0,STABLE
