student_id,course_code,branch,semester,course_credits,CA_mark,MID_mark,attendance_percentage,study_hours_per_week,assignment_completion_pct,previous_sgpa,previous_cgpa,backlog_count,TARGET_PASS_FAIL
2,CSE802,CSE,8,3,50.0,47.53,63.97,9.39,69.54,9.75,9.3,0,1
2,CSE803,CSE,8,3,41.66,44.02,63.97,9.39,69.54,9.75,9.3,0,1
2,CSE804,CSE,8,2,,,63.97,9.39,69.54,9.75,9.3,0,1
2,CSE805,CSE,8,3,35.45,42.48,63.97,9.39,69.54,9.75,9.3,0,1
3,ECE101,ECE,1,3,47.96,45.82,77.33,23.03,97.12,,,0,1
3,ECE102,ECE,1,3,43.13,46.79,77.33,23.03,97.12,,,0,1
3,ECE103,ECE,1,3,35.54,30.49,77.33,23.03,97.12,,,0,1
3,ECE105,ECE,1,3,47.81,46.99,77.33,23.03,97.12,,,0,1
3,ECE201,ECE,2,2,,,71.38,13.28,74.04,9.25,9.25,0,1
3,ECE202,ECE,2,3,31.2,22.68,71.38,13.28,74.04,9.25,9.25,0,1
3,ECE203,ECE,2,3,41.15,39.27,71.38,13.28,74.04,9.25,9.25,0,1
3,ECE204,ECE,2,3,38.24,33.66,71.38,13.28,74.04,9.25,9.25,0,1
3,ECE205,ECE,2,3,35.97,44.11,71.38,13.28,74.04,9.25,9.25,0,1
3,ECE302,ECE,3,2,,,68.32,12.12,65.61,7.93,8.54,0,1
3,ECE304,ECE,3,4,,,68.32,12.12,65.61,7.93,8.54,0,1
3,ECE305,ECE,3,3,39.54,48.0,68.32,12.12,65.61,7.93,8.54,0,1
3,ECE402,ECE,4,3,40.26,43.07,70.03,13.77,81.14,8.0,8.4,0,1
3,ECE403,ECE,4,3,40.99,38.95,70.03,13.77,81.14,8.0,8.4,0,1
3,ECE404,ECE,4,3,35.38,33.21,70.03,13.77,81.14,8.0,8.4,0,1
3,ECE405,ECE,4,3,40.26,35.54,70.03,13.77,81.14,8.0,8.4,0,1
3,ECE501,ECE,5,3,38.28,29.38,69.96,17.17,69.42,8.0,8.3,0,1
3,ECE502,ECE,5,3,35.49,42.82,69.96,17.17,69.42,8.0,8.3,0,1
3,ECE503,ECE,5,2,,,69.96,17.17,69.42,8.0,8.3,0,1
3,ECE504,ECE,5,3,35.01,42.51,69.96,17.17,69.42,8.0,8.3,0,1
3,ECE505,ECE,5,3,33.15,36.33,69.96,17.17,69.42,8.0,8.3,0,1
3,ECE601,ECE,6,3,36.6,41.01,64.74,17.19,87.84,7.71,8.16,0,1
3,ECE602,ECE,6,3,42.46,34.54,64.74,17.19,87.84,7.71,8.16,0,1
3,ECE603,ECE,6,2,,,64.74,17.19,87.84,7.71,8.16,0,1
3,ECE604,ECE,6,3,42.56,40.45,64.74,17.19,87.84,7.71,8.16,0,1
3,ECE701,ECE,7,2,,,81.15,16.33,80.01,8.73,8.25,0,1
3,ECE702,ECE,7,3,25.13,29.22,81.15,16.33,80.01,8.73,8.25,0,1
3,ECE703,ECE,7,3,38.64,35.26,81.15,16.33,80.01,8.73,8.25,0,1
3,ECE704,ECE,7,2,,,81.15,16.33,80.01,8.73,8.25,0,1
3,ECE705,ECE,7,2,,,81.15,16.33,80.01,8.73,8.25,0,1
3,ECE801,ECE,8,2,,,75.55,12.28,90.21,7.75,8.18,0,1
3,ECE802,ECE,8,2,,,75.55,12.28,90.21,7.75,8.18,0,1
3,ECE803,ECE,8,3,33.36,37.1,75.55,12.28,90.21,7.75,8.18,0,1
3,ECE804,ECE,8,3,39.62,38.44,75.55,12.28,90.21,7.75,8.18,1,0
3,ECE805,ECE,8,3,35.93,36.64,75.55,12.28,90.21,7.75,8.18,1,1
4,ME101,ME,1,4,,,91.89,24.06,95.79,,,0,1
4,ME102,ME,1,2,,,91.89,24.06,95.79,,,0,1
4,ME103,ME,1,3,44.16,44.51,91.89,24.06,95.79,,,0,1
4,ME104,ME,1,3,38.98,32.36,91.89,24.06,95.79,,,0,1
4,ME105,ME,1,3,30.61,36.34,91.89,24.06,95.79,,,0,1
4,ME201,ME,2,3,34.87,25.09,100.0,14.72,100.0,8.67,8.67,0,1
4,ME202,ME,2,2,,,100.0,14.72,100.0,8.67,8.67,0,1
4,ME203,ME,2,2,,,100.0,14.72,100.0,8.67,8.67,0,1
4,ME204,ME,2,4,,,100.0,14.72,100.0,8.67,8.67,0,1
4,ME205,ME,2,3,31.74,30.42,100.0,14.72,100.0,8.67,8.67,0,1
4,ME301,ME,3,3,42.84,40.84,100.0,21.43,94.9,7.71,8.21,0,1
4,ME302,ME,3,2,,,100.0,21.43,94.9,7.71,8.21,0,1
4,ME303,ME,3,2,,,100.0,21.43,94.9,7.71,8.21,0,1
4,ME304,ME,3,3,40.24,38.58,100.0,21.43,94.9,7.71,8.21,0,1
4,ME305,ME,3,2,,,100.0,21.43,94.9,7.71,8.21,0,1
4,ME401,ME,4,3,36.66,40.19,100.0,24.79,98.26,8.75,8.37,0,1
4,ME402,ME,4,3,31.85,35.34,100.0,24.79,98.26,8.75,8.37,1,0
4,ME403,ME,4,3,42.3,40.11,100.0,24.79,98.26,8.75,8.37,1,1
4,ME404,ME,4,3,33.09,39.34,100.0,24.79,98.26,8.75,8.37,1,1
4,ME405,ME,4,3,41.12,41.7,100.0,24.79,98.26,8.75,8.37,1,1
4,ME501,ME,5,3,41.84,50.0,100.0,32.28,100.0,6.4,7.84,1,1
4,ME502,ME,5,2,,,100.0,32.28,100.0,6.4,7.84,1,1
4,ME503,ME,5,3,39.5,41.2,100.0,32.28,100.0,6.4,7.84,1,1
4,ME504,ME,5,3,42.27,36.86,100.0,32.28,100.0,6.4,7.84,1,1
4,ME601,ME,6,3,36.39,34.32,100.0,24.83,100.0,8.36,7.93,1,1
4,ME602,ME,6,3,38.33,41.72,100.0,24.83,100.0,8.36,7.93,1,1
4,ME603,ME,6,2,,,100.0,24.83,100.0,8.36,7.93,1,1
4,ME604,ME,6,3,39.6,44.04,100.0,24.83,100.0,8.36,7.93,1,1
4,ME605,ME,6,3,36.84,34.79,100.0,24.83,100.0,8.36,7.93,1,1
4,ME701,ME,7,3,37.64,42.68,100.0,13.16,100.0,8.14,7.96,1,1
4,ME702,ME,7,3,38.39,34.78,100.0,13.16,100.0,8.14,7.96,1,1
4,ME704,ME,7,2,,,100.0,13.16,100.0,8.14,7.96,1,1
4,ME705,ME,7,2,,,100.0,13.16,100.0,8.14,7.96,1,1
4,ME801,ME,8,4,,,100.0,22.36,98.72,8.2,7.99,1,1
4,ME802,ME,8,2,,,100.0,22.36,98.72,8.2,7.99,1,1
4,ME803,ME,8,3,26.49,27.41,100.0,22.36,98.72,8.2,7.99,1,1
4,ME804,ME,8,4,,,100.0,22.36,98.72,8.2,7.99,1,1
4,ME805,ME,8,3,37.5,30.45,100.0,22.36,98.72,8.2,7.99,1,1
5,EEE101,EEE,1,3,50.0,50.0,100.0,18.65,83.48,,,0,1
5,EEE102,EEE,1,2,,,100.0,18.65,83.48,,,0,1
5,EEE103,EEE,1,2,,,100.0,18.65,83.48,,,0,1
5,EEE104,EEE,1,3,50.0,50.0,100.0,18.65,83.48,,,0,1
5,EEE105,EEE,1,3,47.55,42.86,100.0,18.65,83.48,,,0,1
5,EEE201,EEE,2,2,,,100.0,20.16,89.84,10.0,10.0,0,1
5,EEE202,EEE,2,3,50.0,50.0,100.0,20.16,89.84,10.0,10.0,0,1
5,EEE203,EEE,2,3,46.64,47.66,100.0,20.16,89.84,10.0,10.0,0,1
5,EEE204,EEE,2,3,49.24,48.99,100.0,20.16,89.84,10.0,10.0,0,1
5,EEE205,EEE,2,3,50.0,43.63,100.0,20.16,89.84,10.0,10.0,0,1
5,EEE301,EEE,3,2,,,100.0,20.81,100.0,9.79,9.89,0,1
5,EEE302,EEE,3,3,49.28,48.92,100.0,20.81,100.0,9.79,9.89,0,1
5,EEE303,EEE,3,3,47.02,42.39,100.0,20.81,100.0,9.79,9.89,0,1
5,EEE304,EEE,3,3,50.0,47.14,100.0,20.81,100.0,9.79,9.89,0,1
5,EEE305,EEE,3,2,,,100.0,20.81,100.0,9.79,9.89,0,1
5,EEE401,EEE,4,3,50.0,48.77,100.0,22.27,89.26,10.0,9.93,0,1
5,EEE402,EEE,4,2,,,100.0,22.27,89.26,10.0,9.93,0,1
5,EEE403,EEE,4,3,50.0,50.0,100.0,22.27,89.26,10.0,9.93,0,1
5,EEE405,EEE,4,3,50.0,50.0,100.0,22.27,89.26,10.0,9.93,0,1
5,EEE501,EEE,5,3,50.0,50.0,98.45,17.05,84.27,10.0,9.94,0,1
5,EEE502,EEE,5,3,46.73,39.53,98.45,17.05,84.27,10.0,9.94,0,1
5,EEE504,EEE,5,4,,,98.45,17.05,84.27,10.0,9.94,0,1
5,EEE505,EEE,5,3,48.96,50.0,98.45,17.05,84.27,10.0,9.94,0,1
5,EEE601,EEE,6,2,,,100.0,18.74,100.0,9.77,9.91,0,1
5,EEE602,EEE,6,2,,,100.0,18.74,100.0,9.77,9.91,0,1
5,EEE603,EEE,6,3,46.67,43.41,100.0,18.74,100.0,9.77,9.91,0,1
5,EEE604,EEE,6,3,48.47,50.0,100.0,18.74,100.0,9.77,9.91,0,1
5,EEE605,EEE,6,3,50.0,43.46,100.0,18.74,100.0,9.77,9.91,0,1
5,EEE701,EEE,7,3,45.02,50.0,97.32,22.84,100.0,10.0,9.92,0,1
5,EEE702,EEE,7,4,,,97.32,22.84,100.0,10.0,9.92,0,1
5,EEE704,EEE,7,2,,,97.32,22.84,100.0,10.0,9.92,0,1
5,EEE705,EEE,7,3,48.87,50.0,97.32,22.84,100.0,10.0,9.92,0,1
5,EEE801,EEE,8,3,50.0,50.0,100.0,24.12,100.0,10.0,9.93,0,1
5,EEE802,EEE,8,2,,,100.0,24.12,100.0,10.0,9.93,0,1
5,EEE803,EEE,8,4,,,100.0,24.12,100.0,10.0,9.93,0,1
5,EEE804,EEE,8,4,,,100.0,24.12,100.0,10.0,9.93,0,1
5,EEE805,EEE,8,2,,,100.0,24.12,100.0,10.0,9.93,0,1
6,CSE101,CSE,1,3,34.08,35.87,84.3,30.65,100.0,,,0,1
6,CSE103,CSE,1,2,,,84.3,30.65,100.0,,,0,1
6,CSE104,CSE,1,3,37.48,35.56,84.3,30.65,100.0,,,0,1
6,CSE105,CSE,1,3,47.99,41.06,84.3,30.65,100.0,,,0,1
6,CSE201,CSE,2,3,49.14,50.0,62.85,37.34,100.0,8.64,8.64,0,1
6,CSE202,CSE,2,3,36.23,38.08,62.85,37.34,100.0,8.64,8.64,0,1
6,CSE203,CSE,2,4,,,62.85,37.34,100.0,8.64,8.64,0,1
6,CSE204,CSE,2,2,,,62.85,37.34,100.0,8.64,8.64,0,1
6,CSE205,CSE,2,2,,,62.85,37.34,100.0,8.64,8.64,0,1
6,CSE301,CSE,3,3,37.76,39.47,73.96,40.0,100.0,9.64,9.2,0,1
6,CSE303,CSE,3,2,,,73.96,40.0,100.0,9.64,9.2,0,1
6,CSE304,CSE,3,3,50.0,45.5,73.96,40.0,100.0,9.64,9.2,0,1
6,CSE305,CSE,3,3,45.53,47.42,73.96,40.0,100.0,9.64,9.2,0,1
6,CSE401,CSE,4,3,44.72,46.25,70.37,38.51,100.0,9.45,9.28,0,1
6,CSE402,CSE,4,3,44.52,50.0,70.37,38.51,100.0,9.45,9.28,0,1
6,CSE403,CSE,4,3,38.19,44.99,70.37,38.51,100.0,9.45,9.28,0,1
6,CSE404,CSE,4,3,43.1,42.54,70.37,38.51,100.0,9.45,9.28,0,1
6,CSE405,CSE,4,3,50.0,50.0,70.37,38.51,100.0,9.45,9.28,0,1
6,CSE501,CSE,5,2,,,67.88,34.26,100.0,9.4,9.31,0,1
6,CSE502,CSE,5,3,35.77,45.99,67.88,34.26,100.0,9.4,9.31,0,1
6,CSE503,CSE,5,3,35.68,39.38,67.88,34.26,100.0,9.4,9.31,0,1
6,CSE504,CSE,5,3,41.57,46.54,67.88,34.26,100.0,9.4,9.31,0,1
6,CSE505,CSE,5,3,50.0,47.67,67.88,34.26,100.0,9.4,9.31,0,1
6,CSE601,CSE,6,2,,,73.06,29.16,100.0,9.36,9.32,0,1
6,CSE602,CSE,6,3,47.26,41.94,73.06,29.16,100.0,9.36,9.32,0,1
6,CSE603,CSE,6,3,46.22,45.69,73.06,29.16,100.0,9.36,9.32,0,1
6,CSE604,CSE,6,3,47.22,46.73,73.06,29.16,100.0,9.36,9.32,0,1
6,CSE605,CSE,6,3,33.54,31.96,73.06,29.16,100.0,9.36,9.32,0,1
6,CSE701,CSE,7,2,,,82.2,24.99,100.0,9.14,9.29,0,1
6,CSE702,CSE,7,3,47.23,45.19,82.2,24.99,100.0,9.14,9.29,0,1
6,CSE703,CSE,7,3,42.14,50.0,82.2,24.99,100.0,9.14,9.29,0,1
6,CSE801,CSE,8,2,,,66.27,39.13,100.0,9.38,9.3,0,1
6,CSE802,CSE,8,3,36.49,40.78,66.27,39.13,100.0,9.38,9.3,0,1
6,CSE803,CSE,8,3,46.39,47.09,66.27,39.13,100.0,9.38,9.3,0,1
6,CSE804,CSE,8,2,,,66.27,39.13,100.0,9.38,9.3,0,1
6,CSE805,CSE,8,3,,37.75,66.27,39.13,100.0,9.38,9.3,0,1
7,CSE101,CSE,1,3,35.11,37.74,81.77,21.23,84.95,,,0,1
7,CSE103,CSE,1,2,,,81.77,21.23,84.95,,,0,1
7,CSE104,CSE,1,3,42.57,43.17,81.77,21.23,84.95,,,0,1
7,CSE105,CSE,1,3,40.2,43.95,81.77,21.23,84.95,,,0,1
7,CSE201,CSE,2,3,35.91,43.62,82.07,21.25,100.0,8.27,8.27,0,1
7,CSE202,CSE,2,3,44.78,44.65,82.07,21.25,100.0,8.27,8.27,0,1
7,CSE203,CSE,2,4,,,82.07,21.25,100.0,8.27,8.27,0,1
7,CSE204,CSE,2,2,,,82.07,21.25,100.0,8.27,8.27,0,1
7,CSE205,CSE,2,2,,,82.07,21.25,100.0,8.27,8.27,0,1
7,CSE301,CSE,3,3,39.93,38.69,77.77,29.04,79.62,9.07,8.72,0,1
7,CSE303,CSE,3,2,,,77.77,29.04,79.62,9.07,8.72,0,1
7,CSE304,CSE,3,3,38.66,39.82,77.77,29.04,79.62,9.07,8.72,0,1
7,CSE305,CSE,3,3,41.6,50.0,77.77,29.04,79.62,9.07,8.72,0,1
7,CSE401,CSE,4,3,45.73,44.07,74.85,21.24,100.0,9.27,8.89,0,1
7,CSE402,CSE,4,3,40.19,38.3,74.85,21.24,100.0,9.27,8.89,0,1
7,CSE403,CSE,4,3,42.83,,74.85,21.24,100.0,9.27,8.89,0,1
7,CSE404,CSE,4,3,45.55,49.97,74.85,21.24,100.0,9.27,8.89,0,1
7,CSE405,CSE,4,3,39.35,33.31,74.85,21.24,100.0,9.27,8.89,0,1
7,CSE501,CSE,5,2,,,79.11,23.59,79.52,8.4,8.75,0,1
7,CSE502,CSE,5,3,38.97,38.77,79.11,23.59,79.52,8.4,8.75,0,1
7,CSE503,CSE,5,3,40.48,49.58,79.11,23.59,79.52,8.4,8.75,0,1
7,CSE504,CSE,5,3,33.52,,79.11,23.59,79.52,8.4,8.75,0,1
7,CSE505,CSE,5,3,38.08,42.39,79.11,23.59,79.52,8.4,8.75,0,1
7,CSE601,CSE,6,2,,,61.97,25.0,93.91,7.5,8.48,0,1
7,CSE602,CSE,6,3,38.84,36.42,61.97,25.0,93.91,7.5,8.48,0,1
7,CSE603,CSE,6,3,35.92,44.64,61.97,25.0,93.91,7.5,8.48,0,1
7,CSE604,CSE,6,3,37.07,36.81,61.97,25.0,93.91,7.5,8.48,0,1
7,CSE605,CSE,6,3,42.09,44.81,61.97,25.0,93.91,7.5,8.48,0,1
7,CSE701,CSE,7,2,,,71.69,24.49,96.29,8.29,8.44,0,1
7,CSE702,CSE,7,3,36.1,28.69,71.69,24.49,96.29,8.29,8.44,0,1
7,CSE703,CSE,7,3,37.06,38.94,71.69,24.49,96.29,8.29,8.44,0,1
7,CSE801,CSE,8,2,,,62.21,17.49,72.94,7.88,8.39,0,1
7,CSE802,CSE,8,3,40.14,43.44,62.21,17.49,72.94,7.88,8.39,0,1
7,CSE803,CSE,8,3,36.71,39.99,62.21,17.49,72.94,7.88,8.39,0,1
7,CSE804,CSE,8,2,,,62.21,17.49,72.94,7.88,8.39,0,1
7,CSE805,CSE,8,3,34.53,36.81,62.21,17.49,72.94,7.88,8.39,0,1
8,ME301,ME,3,3,41.52,32.75,74.13,18.69,80.61,,,0,1
8,ME302,ME,3,2,,,74.13,18.69,80.61,,,0,1
8,ME303,ME,3,2,,,74.13,18.69,80.61,,,0,1
8,ME304,ME,3,3,37.24,40.82,74.13,18.69,80.61,,,0,1
8,ME305,ME,3,2,,,74.13,18.69,80.61,,,0,1
8,ME401,ME,4,3,32.59,29.79,55.48,10.78,77.28,8.33,8.33,0,1
8,ME402,ME,4,3,36.97,39.92,55.48,10.78,77.28,8.33,8.33,0,1
8,ME403,ME,4,3,34.78,39.97,55.48,10.78,77.28,8.33,8.33,0,1
8,ME404,ME,4,3,33.31,40.99,55.48,10.78,77.28,8.33,8.33,0,1
8,ME405,ME,4,3,38.75,28.67,55.48,10.78,77.28,8.33,8.33,0,1
8,ME501,ME,5,3,43.61,43.13,66.52,5.85,75.05,7.4,7.81,0,1
8,ME502,ME,5,2,,,66.52,5.85,75.05,7.4,7.81,0,1
8,ME503,ME,5,3,38.08,34.54,66.52,5.85,75.05,7.4,7.81,0,1
8,ME504,ME,5,3,32.19,35.14,66.52,5.85,75.05,7.4,7.81,0,1
8,ME601,ME,6,3,38.15,39.01,66.93,12.05,74.23,8.09,7.89,0,1
8,ME602,ME,6,3,35.74,33.41,66.93,12.05,74.23,8.09,7.89,0,1
8,ME603,ME,6,2,,,66.93,12.05,74.23,8.09,7.89,0,1
8,ME604,ME,6,3,30.72,30.17,66.93,12.05,74.23,8.09,7.89,0,1
8,ME605,ME,6,3,,37.7,66.93,12.05,74.23,8.09,7.89,0,1
8,ME701,ME,7,3,33.69,28.46,64.17,16.18,92.72,7.57,7.81,0,1
8,ME702,ME,7,3,,26.84,64.17,16.18,92.72,7.57,7.81,0,1
8,ME704,ME,7,2,,,64.17,16.18,92.72,7.57,7.81,0,1
8,ME705,ME,7,2,,,64.17,16.18,92.72,7.57,7.81,0,1
8,ME801,ME,8,4,,,49.21,11.07,77.37,7.2,7.71,0,1
8,ME802,ME,8,2,,,49.21,11.07,77.37,7.2,7.71,0,1
8,ME803,ME,8,3,37.28,33.4,49.21,11.07,77.37,7.2,7.71,0,1
8,ME804,ME,8,4,,,49.21,11.07,77.37,7.2,7.71,0,1
8,ME805,ME,8,3,39.07,30.13,49.21,11.07,77.37,7.2,7.71,0,1
9,CSE101,CSE,1,3,29.65,27.14,63.35,12.8,83.37,,,0,1
9,CSE103,CSE,1,2,,,63.35,12.8,83.37,,,0,1
9,CSE104,CSE,1,3,27.47,28.83,63.35,12.8,83.37,,,0,1
9,CSE105,CSE,1,3,29.27,22.74,63.35,12.8,83.37,,,0,1
9,CSE201,CSE,2,3,27.7,26.87,79.11,12.7,63.35,6.18,6.18,0,1
9,CSE202,CSE,2,3,25.89,22.74,79.11,12.7,63.35,6.18,6.18,0,1
9,CSE203,CSE,2,4,,,79.11,12.7,63.35,6.18,6.18,0,1
9,CSE204,CSE,2,2,,,79.11,12.7,63.35,6.18,6.18,0,1
9,CSE205,CSE,2,2,,,79.11,12.7,63.35,6.18,6.18,0,1
9,CSE301,CSE,3,3,33.27,31.06,76.16,7.34,71.72,6.93,6.6,0,1
9,CSE303,CSE,3,2,,,76.16,7.34,71.72,6.93,6.6,0,1
9,CSE304,CSE,3,3,25.22,22.17,76.16,7.34,71.72,6.93,6.6,0,1
9,CSE305,CSE,3,3,35.55,37.82,76.16,7.34,71.72,6.93,6.6,0,1
9,CSE401,CSE,4,3,28.77,27.73,68.52,4.99,61.58,6.91,6.69,0,1
9,CSE402,CSE,4,3,36.3,32.29,68.52,4.99,61.58,6.91,6.69,0,1
9,CSE403,CSE,4,3,42.11,40.54,68.52,4.99,61.58,6.91,6.69,0,1
9,CSE404,CSE,4,3,26.55,25.73,68.52,4.99,61.58,6.91,6.69,0,1
9,CSE405,CSE,4,3,20.58,24.75,68.52,4.99,61.58,6.91,6.69,0,1
9,CSE501,CSE,5,2,,,74.31,7.07,67.52,6.4,6.61,0,1
9,CSE502,CSE,5,3,26.76,23.18,74.31,7.07,67.52,6.4,6.61,0,1
9,CSE503,CSE,5,3,26.81,30.85,74.31,7.07,67.52,6.4,6.61,0,1
9,CSE504,CSE,5,3,37.95,21.78,74.31,7.07,67.52,6.4,6.61,0,1
9,CSE505,CSE,5,3,27.03,32.64,74.31,7.07,67.52,6.4,6.61,0,1
9,CSE601,CSE,6,2,,,69.01,11.51,57.71,6.21,6.52,0,1
9,CSE602,CSE,6,3,36.04,32.92,69.01,11.51,57.71,6.21,6.52,0,1
9,CSE603,CSE,6,3,24.32,25.96,69.01,11.51,57.71,6.21,6.52,0,1
9,CSE604,CSE,6,3,31.19,35.68,69.01,11.51,57.71,6.21,6.52,0,1
9,CSE605,CSE,6,3,34.05,31.26,69.01,11.51,57.71,6.21,6.52,0,1
9,CSE701,CSE,7,2,,,54.29,11.02,56.28,6.93,6.59,0,1
9,CSE702,CSE,7,3,25.0,20.44,54.29,11.02,56.28,6.93,6.59,0,1
9,CSE703,CSE,7,3,32.49,31.81,54.29,11.02,56.28,6.93,6.59,0,1
9,CSE801,CSE,8,2,,,65.92,5.82,67.16,5.75,6.52,0,1
9,CSE802,CSE,8,3,32.94,31.53,65.92,5.82,67.16,5.75,6.52,0,1
9,CSE803,CSE,8,3,30.0,30.76,65.92,5.82,67.16,5.75,6.52,0,1
9,CSE804,CSE,8,2,,,65.92,5.82,67.16,5.75,6.52,0,1
