course_code,course_name,branch_code,semester,course_type,credits,assessment_type
EEE204,EEE Subject 2-4,EEE,2,THEORY,3,CA_MID_END
EEE205,EEE Subject 2-5,EEE,2,THEORY,3,CA_MID_END
EEE301,EEE Subject 3-1,EEE,3,LAB,2,PRACTICAL
EEE302,EEE Subject 3-2,EEE,3,THEORY,3,CA_MID_END
EEE303,EEE Subject 3-3,EEE,3,THEORY,3,CA_MID_END
EEE304,EEE Subject 3-4,EEE,3,THEORY,3,CA_MID_END
EEE305,EEE Subject 3-5,EEE,3,LAB,2,PRACTICAL
EEE401,EEE Subject 4-1,EEE,4,THEORY,3,CA_MID_END
EEE402,EEE Subject 4-2,EEE,4,LAB,2,PRACTICAL
EEE403,EEE Subject 4-3,EEE,4,THEORY,3,CA_MID_END
EEE404,EEE Subject 4-4,EEE,4,NON_CREDIT,0,CA_END
EEE405,EEE Subject 4-5,EEE,4,THEORY,3,CA_MID_END
EEE501,EEE Subject 5-1,EEE,5,THEORY,3,CA_MID_END
EEE502,EEE Subject 5-2,EEE,5,THEORY,3,CA_MID_END
EEE503,EEE Subject 5-3,EEE,5,NON_CREDIT,0,CA_END
EEE504,EEE Subject 5-4,EEE,5,PROJECT,4,PROJECT
EEE505,EEE Subject 5-5,EEE,5,THEORY,3,CA_MID_END
EEE601,EEE Subject 6-1,EEE,6,LAB,2,PRACTICAL
EEE602,EEE Subject 6-2,EEE,6,LAB,2,PRACTICAL
EEE603,EEE Subject 6-3,EEE,6,THEORY,3,CA_MID_END
EEE604,EEE Subject 6-4,EEE,6,THEORY,3,CA_MID_END
EEE605,EEE Subject 6-5,EEE,6,THEORY,3,CA_MID_END
EEE701,EEE Subject 7-1,EEE,7,THEORY,3,CA_MID_END
EEE702,EEE Subject 7-2,EEE,7,PROJECT,4,PROJECT
EEE703,EEE Subject 7-3,EEE,7,NON_CREDIT,0,CA_END
EEE704,EEE Subject 7-4,EEE,7,LAB,2,PRACTICAL
EEE705,EEE Subject 7-5,EEE,7,THEORY,3,CA_MID_END
EEE801,EEE Subject 8-1,EEE,8,THEORY,3,CA_MID_END
EEE802,EEE Subject 8-2,EEE,8,LAB,2,PRACTICAL
EEE803,EEE Subject 8-3,EEE,8,PROJECT,4,PROJECT
EEE804,EEE Subject 8-4,EEE,8,PROJECT,4,PROJECT
EEE805,EEE Subject 8-5,EEE,8,LAB,2,PRACTICAL
